"MUID","SEQN","SNAM","S5ID","CMPPCT","NLAYERS","HYDGRP","SOL_ZMX","ANION_EXCL","SOL_CRK","TEXTURE","SOL_Z1","SOL_BD1","SOL_AWC1","SOL_K1","SOL_CBN1","CLAY1","SILT1","SAND1","ROCK1","SOL_ALB1","USLE_K1","SOL_EC1","SOL_Z2","SOL_BD2","SOL_AWC2","SOL_K2","SOL_CBN2","CLAY2","SILT2","SAND2","ROCK2","SOL_ALB2","USLE_K2","SOL_EC2","SOL_Z3","SOL_BD3","SOL_AWC3","SOL_K3","SOL_CBN3","CLAY3","SILT3","SAND3","ROCK3","SOL_ALB3","USLE_K3","SOL_EC3","SOL_Z4","SOL_BD4","SOL_AWC4","SOL_K4","SOL_CBN4","CLAY4","SILT4","SAND4","ROCK4","SOL_ALB4","USLE_K4","SOL_EC4","SOL_Z5","SOL_BD5","SOL_AWC5","SOL_K5","SOL_CBN5","CLAY5","SILT5","SAND5","ROCK5","SOL_ALB5","USLE_K5","SOL_EC5","SOL_Z6","SOL_BD6","SOL_AWC6","SOL_K6","SOL_CBN6","CLAY6","SILT6","SAND6","ROCK6","SOL_ALB6","USLE_K6","SOL_EC6","SOL_Z7","SOL_BD7","SOL_AWC7","SOL_K7","SOL_CBN7","CLAY7","SILT7","SAND7","ROCK7","SOL_ALB7","USLE_K7","SOL_EC7","SOL_Z8","SOL_BD8","SOL_AWC8","SOL_K8","SOL_CBN8","CLAY8","SILT8","SAND8","ROCK8","SOL_ALB8","USLE_K8","SOL_EC8","SOL_Z9","SOL_BD9","SOL_AWC9","SOL_K9","SOL_CBN9","CLAY9","SILT9","SAND9","ROCK9","SOL_ALB9","USLE_K9","SOL_EC9","SOL_Z10","SOL_BD10","SOL_AWC10","SOL_K10","SOL_CBN10","CLAY10","SILT10","SAND10","ROCK10","SOL_ALB10","USLE_K10","SOL_EC10"
"ABFIRaa~~~N","1601","ABFIRaa~~~N","SLCAB","100","5","1","1000","0.5","0.5","Not available","110","1.45","3","300","0.3","0","12","88","50","0.1","0.0593024403218869","0","200","1.5","3","600","1","2","8","90","50","0","0","0","330","1.55","6","100","0.7","12","8","80","50","0","0","0","600","1.55","11","100","0.3","15","30","55","50","0","0","0","1000","1.55","6","300","0.1","8","13","79","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFIR~~~~~N","1602","ABFIR~~~~~N","SLCAB","100","5","1","1000","0.5","0.5","Not available","110","1.45","3","300","0.3","0","12","88","50","0.1","0.0593024403218869","0","200","1.5","3","600","1","2","8","90","50","0","0","0","330","1.55","6","100","0.7","12","8","80","50","0","0","0","600","1.55","11","100","0.3","15","30","55","50","0","0","0","1000","1.55","6","300","0.1","8","13","79","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFLTaa~~~N","1603","ABFLTaa~~~N","SLCAB","100","4","3","1000","0.5","0.5","Not available","100","1.15","15","100","14.4","35","43","22","0","0.1","0.146179791662432","0","200","1.35","17","30","2.7","45","41","14","0","0","0","3","450","1.45","17","10","0","39","40","21","0","0","0","8","1000","1.45","16","10","0","36","36","28","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFLT~~~~~N","1604","ABFLT~~~~~N","SLCAB","100","4","3","1000","0.5","0.5","Not available","100","1.15","15","100","14.4","35","43","22","0","0.1","0.146179791662432","0","200","1.35","17","30","2.7","45","41","14","0","0","0","3","450","1.45","17","10","0","39","40","21","0","0","0","8","1000","1.45","16","10","0","36","36","28","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFLUaa~~~A","1605","ABFLUaa~~~A","SLCAB","100","5","3","1000","0.5","0.5","Not available","200","1.25","12","100","3","21","30","49","3","0.1","0.116347974231119","0","250","1.45","14","100","0.8","31","27","42","3","0","0","0","550","1.55","16","30","0.4","32","31","37","5","0","0","0","750","1.45","15","30","0.5","28","37","35","5","0","0","0","1000","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFLUer~~~A","1606","ABFLUer~~~A","SLCAB","100","4","3","1000","0.5","0.5","Not available","200","1.25","12","100","2.5","21","30","49","3","0.1","0.11666851120544","0","500","1.55","16","30","0.4","32","31","37","5","0","0","0","700","1.45","15","30","0.5","28","37","35","5","0","0","0","1000","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFLUst~~~N","1607","ABFLUst~~~N","SLCAB","100","6","3","1200","0.5","0.5","Not available","80","1.15","12","300","3.9","22","32","46","15","0.1","0.119658348513629","0","300","1.15","11","300","1.7","21","30","49","10","0","0","0","350","1.45","14","100","0.8","31","27","42","10","0","0","0","700","1.55","16","30","0.4","32","31","37","10","0","0","0","950","1.45","15","30","0.5","28","37","35","10","0","0","0","1200","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFLU~~~~~A","1608","ABFLU~~~~~A","SLCAB","100","5","3","1000","0.5","0.5","Not available","200","1.25","12","100","3","21","30","49","3","0.1","0.116347974231119","0","250","1.45","14","100","0.8","31","27","42","3","0","0","0","550","1.55","16","30","0.4","32","31","37","5","0","0","0","750","1.45","15","30","0.5","28","37","35","5","0","0","0","1000","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFLU~~~~~N","1609","ABFLU~~~~~N","SLCAB","100","6","3","1200","0.5","0.5","Not available","80","1.15","12","300","3.9","22","32","46","2","0.1","0.119658348513629","0","300","1.15","11","300","1.7","21","30","49","3","0","0","0","350","1.45","14","100","0.8","31","27","42","3","0","0","0","700","1.55","16","30","0.4","32","31","37","5","0","0","0","950","1.45","15","30","0.5","28","37","35","5","0","0","0","1200","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFMK~~~~~N","1610","ABFMK~~~~~N","SLCAB","100","6","3","1000","0.5","0.5","Not available","80","1.3","9","300","0.8","8","32","60","0","0.1","0.151635503287909","0","200","1.4","13","300","0.4","17","40","43","0","0","0","0","500","1.45","14","30","0.4","31","29","40","0","0","0","0","650","1.55","5","10","0.3","54","25","21","2","0","0","0","800","1.55","6","0","0.3","52","25","23","2","0","0","1","1000","1.5","7","0","0","48","22","30","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
